SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,BIT,MI,deltaRI,QualityFlag
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.68,0.488198557,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.707,0.464158883,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.735,0.483293024,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.747,0.481668825,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.778,0.483293024,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.788,0.475226428,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.794,0.369191303,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.862,0.503215936,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.889,0.42813324,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,6.172,0.43102546,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,6.497,0.478436783,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,6.573,0.450307077,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,6.837,0.486557871,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,6.922,0.498159505,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.023,0.444284149,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.134,0.45334909,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.23,0.488198557,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.235,0.518695262,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.269,0.506615371,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.329,0.480050084,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.388,0.486557871,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.488,0.475226428,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.3,0,0
